InChI Key,SMILES,DrugBank ID,Target uniprot,Target organism,Target actions,Target cellular location,ATC Codes,CAS Number
KBPHJBAIARWVSC-RGZFRNHPSA-N,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,DB00137,P02768,Human,,Secreted,,127-40-2
WHUUTDBJXJRKMK-VKHMYHEASA-N,N[C@@H](CCC(O)=O)C(O)=O,DB00142,P00367; P39086; P42261; P48507; Q04609; Q05329; Q99259; O95954; P42262; P42263; P48058; P54886; Q13002; Q13003; Q13255; Q14833; Q16099; Q16478; Q14831; O00222; O00341; O14841; O15067; O15382; O15399; O43424; O60391; O75879; O94925; P00505; P07814; P08243; P15104; P17174; P17735; P24298; P38435; P43003; P43004; P43005; P48506; P48664; P49448; P49915; P54687; P80404; Q05586; Q05932; Q07075; Q12879; Q13224; Q14957; Q2TU84; Q5JPH6; Q5TDP6; Q6IA69; Q6YP21; Q8N159; Q8N5Z0; Q8TCU5; Q8TD30; Q9H1K4; Q9H936; Q9UDR5; Q9UI32; Q9ULA0; Q9ULK0; Q9UPY5; Q9Y646; Q9Y617; Q8TF71; P53985,Human,substrate; inhibitor,Mitochondrion matrix; Cell membrane; Cytoplasm; Mitochondrion inner membrane; Membrane; Cytoplasmic; Mitochondrion; Endoplasmic reticulum membrane; Endoplasmic reticulum,A09AB01,56-86-0
JWUBBDSIWDLEOM-DTOXIADCSA-N,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,DB00146,O15528; P11473; Q07973,Human,substrate; agonist,Mitochondrion membrane; Nucleus; Mitochondrion,A11CC06,19356-17-3
BOPGDPNILDQYTO-NNYOXOHSSA-N,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,DB00157,O60701; P07327; Q00796; P08319; P00326; P00325; P40394; P21695; Q6ZMR3; P11766; P15121; Q99714; P40926; P00338; P23368; P51659; Q9BYZ2; P07864; P07195; Q08426; Q16836; Q16798; Q02338; P40925; P31937; P37058; P04035; P48163; O43175; P56937; P51553; O43837; P50213; P14061; P37059; Q92781; O95479; Q92506; P17516; P12268; P42330; P15428; Q13630; Q04828; P28845; P26439; P14060; P20839; P40939; P05091; P80365; P52895; Q15738; P48448; Q02252; P30838; P00352; O14556; P49189; P47895; P30837; P43353; P04406; O94788; P51648; P51649; P49419; P30043; Q96C36; P32322; P00367; P11177; P29803; P08559; P53004; P16219; P00374; Q02218; P49448; Q9UBM7; P16083; P03891; Q9UDR5; P03897; O75251; P11586; P13995; P30038; P00387; Q86Y39; P03905; P09417; P03886; Q13423; Q16718; Q16795; P03901; O95299; O95182; O15239; P03923; P03915; O00483; P56556; O14561; O43678; P51970; O95167; O95169; O95298; O75438; P28331; O96000; O95168; O43676; O95178; P17568; Q9Y6M9; O75306; O43674; O43677; O95139; P56181; P09622; O75489; P00390; Q9UI09; O43920; O43181; P49821; P19404; Q9P0J0; Q16878; O75380; Q9NRX3; O00217; Q02928; P10515; P48728; Q15800; P09601; P30519; P05093; P14679; P47989; Q06278; P28332; P14550,Human,binder; substrate; activator,Cytoplasm; Mitochondrion membrane; Mitochondrion; Mitochondrion matrix; Peroxisome; Endoplasmic reticulum membrane; Cell membrane; Membrane; Endoplasmic reticulum lumen; Microsome; Mitochondrion inner membrane; Melanosome membrane,,58-68-4
QNAYBMKLOCPYGJ-REOHCLBHSA-N,C[C@H](N)C(O)=O,DB00160,P21549; P24298; Q9Y697; Q7Z2H8; Q9UHI5; Q9BYV1; P49588; P43007; P80404; Q16719; Q5JTZ9; Q8IUZ5; Q8TD30; Q8TF71,Human,inhibitor,Peroxisome; Cytoplasm; Mitochondrion; Cell membrane; Membrane; Mitochondrion matrix,,56-41-7
IAOZJIPTCAWIRG-QWRGUYRKSA-N,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,DB00168,Q8TE23; Q8NER1; Q4U2R8; Q8TCC7; Q9NSA0; Q7RTX0,Human,agonist; inducer; inhibitor,Cell membrane; Cell junction; Basolateral cell membrane,,22839-47-0
DHHVAGZRUROJKS-UHFFFAOYSA-N,CC(C)(N)CC1=CC=CC=C1,DB00191,P23975; Q01959; P21397; P27338; P31645; P05177; P11712; P10635,Human,inhibitor; antagonist; inducer,Membrane; Cell membrane; Mitochondrion outer membrane; Endoplasmic reticulum membrane,A08AA01,122-09-8
YOZNUFWCRFCGIH-WZHZPDAFSA-K,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H],DB00200,Q8IVH4; Q9BXJ7; P20061; P22033; Q9UBK8; Q96EY8; Q99707; O60494; Q9Y4U1; P20062,Human,other/unknown; other; cofactor; substrate,Mitochondrion; Membrane; Secreted; Mitochondrion matrix; Cytoplasm; Endosome membrane,V03AB33; B03BA03; B03BA53,13422-51-0
OYYDSUSKLWTMMQ-JKHIJQBDSA-N,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,DB00209,P11229; P10635,Human,antagonist; inhibitor,Cell membrane; Endoplasmic reticulum membrane,A03DA06; G04BD09,47608-32-2
NGBFQHCMQULJNZ-UHFFFAOYSA-N,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,DB00214,Q13621; P10632; P11712; P23219; P33261,Human,inhibitor; substrate,Membrane; Endoplasmic reticulum membrane; Microsome membrane,C03CA04,56211-40-6
QAGYKUNXZHXKMR-HKWSIXNMSA-N,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,DB00220,O90777; P33261; P08684; P20813; P20815; P24462; P08183; O15245; P46721; Q9UNQ0; Q9Y6L6; P05177; P11712; P10635; P02768,Human immunodeficiency virus; Human,inhibitor; substrate; inducer,Cytoplasmic; Endoplasmic reticulum membrane; Cell membrane; Basolateral cell membrane; Secreted,J05AE04,159989-64-7
HUYWAWARQUIQLE-UHFFFAOYSA-N,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,DB00221,P08588; P07550,Human,agonist,Cell membrane,R03AC07; R03CC06,79490-84-9
WXURHACBFYSXBI-XHIJKXOTSA-N,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,DB00223,P04150,Human,agonist,Cytoplasm,D07AC10,2557-49-5
CBVCZFGXHXORBI-PXQQMZJSSA-N,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,DB00224,Q72874; P08684; P20815; P24462; P08183; O15245; P33527; P46721; Q9Y6L6; Q92887; P33261; P11712; P10635,Human immunodeficiency virus 1; Human,inhibitor; substrate; inducer,Endoplasmic reticulum membrane; Cell membrane; Basolateral cell membrane; Apical cell membrane,J05AE02,150378-17-9
HPBNRIOWIXYZFK-UHFFFAOYSA-N,NC(N)=NCC1COC2(CCCCC2)O1,DB00226,P23975,Human,partial agonist,Membrane,,40580-59-4
WUBBRNOQWQTFEX-UHFFFAOYSA-N,NC1=CC(O)=C(C=C1)C(O)=O,DB00233,P9WNC7; Q9NZK7; P35354; P09917; O15111; P05164,Mycobacterium tuberculosis; Human,unknown; inhibitor,Secreted; Microsome membrane; Cytoplasm; Lysosome,J04AA01; J04AA02; J04AA03,65-49-6
NJBFOOCLYDNZJN-UHFFFAOYSA-N,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,DB00236,,Human,cross-linking/alkylation,,L01AX02,54-91-1
NQDJXKOVJZTUJA-UHFFFAOYSA-N,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,DB00238,P08684; P20813; P20815; P11712; P11509; P10635; P05177; Q72547; P02768,Human; Human immunodeficiency virus 1,substrate; inhibitor; inducer,Endoplasmic reticulum membrane; Cytoplasmic; Secreted,J05AR05; J05AG01; J05AR07,129618-40-2
XKLMZUWKNUAPSZ-UHFFFAOYSA-N,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,DB00243,P08684; P10635; Q14524; Q15858,Human,substrate; inhibitor,Endoplasmic reticulum membrane; Membrane,C01EB18,95635-55-5
KBOPZPXVLCULAV-UHFFFAOYSA-N,NC1=CC(C(O)=O)=C(O)C=C1,DB00244,P23219; P35354; P37231; O15111; O14920; P09917; P05164; P9WJI5,Human; Mycobacterium tuberculosis,inhibitor; agonist,Microsome membrane; Nucleus; Cytoplasm; Lysosome,A07EC02,89-57-6
KORNTPPJEAJQIU-KJXAQDMKSA-N,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,DB00248,P14416; P41595; P35462; P28223; P18089; P28221; P21917; P08913; P08908; P18825; P21918; P21728; P28222; P28335; P08684; P34969; P35348; P35368; P25100; P08588; P07550,Human,agonist; antagonist; substrate; inhibitor; binder,Cell membrane; Endoplasmic reticulum membrane; Nucleus membrane,N04BC06; G02CB03,81409-90-7
DLGOEMSEDOSKAD-UHFFFAOYSA-N,ClCCNC(=O)N(CCCl)N=O,DB00262,P00390; P05177,Human,inhibitor; other/unknown; substrate,Mitochondrion; Endoplasmic reticulum membrane,L01AD01,154-93-8
KJADKKWYZYXHBB-XBWDGYHZSA-N,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,DB00273,P14867; P35498; P00918; P22748; P39086; P33261; P08684; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P00915; P07451,Human,agonist; inhibitor; antagonist; inducer; positive allosteric modulator,Cell junction; Membrane; Cytoplasm; Cell membrane; Endoplasmic reticulum membrane,N03AX11,97240-79-4
SNBUBQHDYVFSQF-HIFRSBDPSA-N,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O,DB00274,C1KC03; P02768; P46059; Q16348; P02918; P02919; P0AD68; P0AEB2; P08506,Staphylococcus aureus; Human; Escherichia coli (strain K12),inhibitor,Secreted; Membrane; Cell inner membrane,J01DC09,56796-20-4
XCPGHVQEEXUHNC-UHFFFAOYSA-N,COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1,DB00276,P11388; Q12809; P08183; P10635; P02763; P02768,Human,inhibitor; intercalation; substrate,Cytoplasm; Cell membrane; Endoplasmic reticulum membrane; Secreted,L01XX01,51264-14-3
KXNPVXPOPUZYGB-XYVMCAHJSA-N,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C1=CC=CC2=C1NC[C@H](C)C2,DB00278,P00734; P08684; P20815,Human,inhibitor; substrate,Secreted; Endoplasmic reticulum membrane,B01AE03,74863-84-6
NNJVILVZKWQKPM-UHFFFAOYSA-N,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,DB00281,Q14524; Q9Y5Y9; P00533; Q15858; P05177; P10635; P08684; P20815; P24462; O76082; P08183; P11509; P20813; P33260; P10632; P11712; P35499; P02763; P19652,Human,inhibitor; antagonist; substrate,Membrane; Cell membrane; Endoplasmic reticulum membrane; Secreted,C01BB01; D04AB01; N01BB02; R02AD02; S02DA01; C05AD01; S01HA07; N01BB52,137-58-6
WRUUGTRCQOWXEG-UHFFFAOYSA-N,NCCC(O)(P(O)(O)=O)P(O)(O)=O,DB00282,P14324,Human,inhibitor; antagonist,Cytoplasm,M05BA03,40391-99-9
YNNUSGIPVFPVBX-NHCUHLMSSA-N,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,DB00283,P35367; P10635; P08684,Human,antagonist; inhibitor,Cell membrane; Endoplasmic reticulum membrane,D04AA14; R06AA04; R06AA54,15686-51-8
JUZNIMUFDBIJCM-ANEDZVCMSA-N,[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O,DB00303,P44469; P45059; P02918; P08506; P24228; P02919; P0AD68; P0AD65,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd); Escherichia coli (strain K12),inhibitor,Cell inner membrane; Periplasm,J01DH03,153832-46-3
HHJUWIANJFBDHT-KOTLKJBCSA-N,[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C)[C@@]1([H])[C@](O)([C@H](O)[C@]2(CC)C=CC3)C(N)=O)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC,DB00309,Q9H4B7; P08684,Human,inhibitor; substrate,Cytoplasm; Endoplasmic reticulum membrane,L01CA03,53643-48-4
XGALLCVXEZPNRQ-UHFFFAOYSA-N,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,DB00317,P02768; P02763; P08684; P10635; P20815; P04798; P11712; P33261; P00533; P08183; Q9UNQ0,Human,substrate; inhibitor; antagonist,Secreted; Endoplasmic reticulum membrane; Cell membrane,L01XE02,184475-35-2
FAOZLTXFLGPHNG-KNAQIMQKSA-N,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,DB00324,P08185; P08684; P04150,Human,substrate; inducer; agonist,Secreted; Endoplasmic reticulum membrane; Cytoplasm,D10AA01; S01BA07; C05AA06; D07XB04; D07AB06; S01CB05; S01BB03; D07CB03; S01CA07,426-13-1
XZWYZXLIPXDOLR-UHFFFAOYSA-N,CN(C)C(=N)NC(N)=N,DB00331,Q9Y478; O15244; O15245; Q96FL8; Q7RTT9; O75751,Human,inducer; substrate; inhibitor,Cytoplasmic; Membrane; Basolateral cell membrane; Cell membrane,A10BD18; A10BD13; A10BA02; A10BD10; A10BD02; A10BD03; A10BD16; A10BD15; A10BD14; A10BD05; A10BD08; A10BD11; A10BD20; A10BD07; A10BD17,657-24-9
IPEHBUMCGVEMRF-UHFFFAOYSA-N,NC(=O)C1=NC=CN=C1,DB00339,P47989; Q06278; P05177; P08684,Human; Mycobacterium tuberculosis,substrate; inhibitor,Cytoplasm; Endoplasmic reticulum membrane,J04AM06; J04AM05; J04AK01,98-96-4
BWPIARFWQZKAIA-UHFFFAOYSA-N,CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,DB00344,P23975; P31645; P10635; P08183,Human,inhibitor; substrate,Membrane; Cell membrane; Endoplasmic reticulum membrane,N06AA11,438-60-8
ZFMITUMMTDLWHR-UHFFFAOYSA-N,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1,DB00350,P48048; P23219; P00797,Human,inducer,Cell membrane; Microsome membrane; Secreted,D11AX01; C02DC01,38304-91-5
ROBVIMPUHSLWNV-UHFFFAOYSA-N,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1,DB00357,P11511; P05177; P33261; P08684; P05108,Human,inhibitor; inducer,Membrane; Endoplasmic reticulum membrane; Mitochondrion membrane,L02BG01,125-84-8
GBABOYUKABKIAF-GHYRFKGUSA-N,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@@](CC)([C@@H](OC(C)=O)[C@@]2(O)C(=O)OC)[C@@]13[H])[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC,DB00361,P07437; P08684; P08183; P10635,Human,inhibitor; substrate,Cytoplasm; Endoplasmic reticulum membrane; Cell membrane,L01CA04,71486-22-1
JHVAMHSQVVQIOT-MFAJLEFUSA-N,[H][C@@]12C[C@@H](O)CN1C(=O)[C@@]([H])(NC(=O)[C@H](C[C@@H](O)[C@@H](O)NC(=O)[C@]1([H])[C@@H](O)[C@@H](C)CN1C(=O)[C@@]([H])(NC(=O)[C@@]([H])(NC2=O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O)NC(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(OCCCCC)C=C1)[C@@H](C)O,DB00362,A2QLK4,Aspergillus niger (strain CBS 513.88 / FGSC A1513),inhibitor,Mitochondrion,J02AX06,166663-25-8
QZUDBNBUXVUHMW-UHFFFAOYSA-N,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,DB00363,P21917; P35367; P14416; Q9NYX4; Q9H3N8; P28223; P08908; P28335; P21728; P05177; P10635; P35462; P11229; P08172; P20309; P08173; P08912; P28222; P28221; P28566; P46098; P50406; P34969; P35348; P35368; P08913; P18089; P18825; P11712; P08183; P08684; P33261; P31513; P22310; P04798; Q16678; P11509; P10632; P05181; P09211,Human,antagonist; unknown; substrate; inhibitor; inducer,Cell membrane; Cytoplasmic vesicle membrane; Endoplasmic reticulum membrane; Cell junction; Nucleus membrane; Microsome membrane; Microsome; Cytoplasm,N05AH02,5786-21-0
WWYNJERNGUHSAO-XUDSTZEESA-N,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],DB00367,P06401; P03372; P18405; P08684; P11511; P10275; P04278,Human,binder; other; inhibitor; substrate; agonist,Nucleus; Microsome membrane; Endoplasmic reticulum membrane; Membrane; Secreted,G03FA11; G03FB09; G03AC03; G03AB03; G03AA07; G03AD01,797-63-7
SFLSHLFXELFNJZ-QMMMGPOBSA-N,NC[C@H](O)C1=CC(O)=C(O)C=C1,DB00368,P00439; P35348; P35368; P25100; P08913; P18089; P18825; P08588; P07550; P13945; O15244; O75751; O76082; O15245; Q01860; P05177; P23975; Q05940; P54219,Human,inhibitor; agonist; substrate; binder,Nucleus membrane; Cell membrane; Membrane; Basolateral cell membrane; Cytoplasm; Endoplasmic reticulum membrane; Cytoplasmic vesicle membrane,C01CA03,51-41-2
JGMOKGBVKVMRFX-HQZYFCCVSA-N,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C,DB00378,P06401,Human,agonist,Nucleus,G03FA14; G03DB01; G03FB08,152-62-5
RJKFOVLPORLFTN-LEKSSAKUSA-N,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,DB00396,P06401; P03372; P05093; P33261; P11712; P08684; P20815; P24462; P08183; O15244; O15245; O75751; O95342; P33527; Q14973; P04798; P05177; Q16678; P11509; P10632; P10635; P08235; P41145; O75469; P02763; P04150; P10275; P04278,Human,agonist; inhibitor; substrate; inducer; antagonist; activator; partial agonist,Nucleus; Membrane; Endoplasmic reticulum membrane; Cell membrane; Basolateral cell membrane; Cytoplasm; Secreted,G03DA04; G03FA04,57-83-0
GBBSUAFBMRNDJC-INIZCTEOSA-N,CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1,DB00402,P08684; P11712; P10632; P23219; P30536; P14867; P47869; P34903; P31644; P48169; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Human,substrate; agonist; potentiator; positive allosteric modulator,Endoplasmic reticulum membrane; Microsome membrane; Mitochondrion membrane; Cell junction,N05CF04,138729-47-2
ZDIGNSYAACHWNL-HNNXBMFYSA-N,CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1,DB00405,P35367,Human,antagonist,Cell membrane,R06AB56; R06AB06,132-21-8
LGLFFNDHMLKUMI-UHFFFAOYSA-N,CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C,DB00406,O15245,Human,intercalation; inhibitor,Basolateral cell membrane,D01AE02; G01AX09,7438-46-2
FASDKYOPVNHBLU-ZETCQYMHSA-N,CCCN[C@H]1CCC2=C(C1)SC(N)=N2,DB00413,P35462; P21917; P14416; P18089; P08908; P28221; P08913; P28222; P28223; P41595; P28335; P18825; O15244; O15245; P21728; P21918,Human,agonist; unknown; partial agonist; substrate,Cell membrane; Membrane; Basolateral cell membrane,N04BC05,104632-26-0
CBEQULMOCCWAQT-WOJGMQOQSA-N,CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1,DB00427,P35367; P10635,Human,antagonist; inhibitor,Cell membrane; Endoplasmic reticulum membrane,R06AX07,486-12-4
VSQQQLOSPVPRAZ-RRKCRQDMSA-N,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F,DB00432,P04818; P04183; P19971; Q4U2R8,Human,inhibitor; other/unknown; substrate,Nucleus; Cytoplasm; Cell membrane,L01BC59; S01AD02,70-00-8
ORFOPKXBNMVMKC-DWVKKRMSSA-N,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1,DB00438,O76082; P46059; Q16348; Q4U2R8; P0AD68; Q75Y35; P02918; Q8DR59; P02919; Q9X6W0; Q9X6V3; P0AD65; P72161,Human; Escherichia coli (strain K12); Streptococcus pneumoniae; Streptococcus pneumoniae (strain ATCC BAA-255 / R6); Pseudomonas aeruginosa; Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),inhibitor,Membrane; Cell membrane; Cell inner membrane; Secreted; Cytoplasmic; Periplasm,J01DD52; J01DD02,72558-82-8
AOJJSUZBOXZQNB-VTZDEGQISA-N,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O,DB00445,O14646; P11388; P33527; P16662; P47712,Human,antagonist; inhibitor; intercalation; substrate,Nucleus; Cytoplasm; Cell membrane; Microsome membrane,L01DB03,56420-45-2
XUIIKFGFIJCVMT-LBPRGKRZSA-N,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,DB00451,P10827; P10828; P10632; P02766; P02768; P05543; P08183; P36021; Q9NYB5; P08684; P46721; Q9Y6L6; Q9NPD5; Q96BD0; Q6ZQN7; Q01650,Human,agonist; inhibitor; inducer; substrate,Nucleus; Endoplasmic reticulum membrane; Secreted; Cell membrane; Basolateral cell membrane; Cytoplasm,H03AA01,51-48-9
GJGDLRSSCNAKGL-KMVLDZISSA-N,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(=O)NCO)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC(Cl)=C1[C@@]3(C)O,DB00453,P0A7V8; P0A7X3,Escherichia coli (strain K12); Enteric bacteria and other eubacteria,inhibitor,Cytoplasmic,J01AA11; J01AA20,1181-54-0
UCHDWCPVSPXUMX-TZIWLTJVSA-N,OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1,DB00471,Q9Y271; P09917; P08684; P11712; P10632; O94956; P23219; P11509,Human,antagonist; other/unknown; substrate; inhibitor,Cell membrane; Cytoplasm; Endoplasmic reticulum membrane; Microsome membrane,R03DC53; R03DC03,158966-92-8
GOTYRUGSSMKFNF-UHFFFAOYSA-N,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,DB00480,P35354; O14788; P33151; Q96SW2; P08183,Human,negative modulator; inhibitor; antagonist; substrate,Microsome membrane; Cell membrane; Cell junction; Cytoplasm,L04AX04,191732-72-6
RZEKVGVHFLEQIL-UHFFFAOYSA-N,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,DB00482,P35354; O15530; P11712; P10635; O15439; P08684; P02768; P02763; P10632; P00918; P07451,Human,inhibitor; substrate,Microsome membrane; Cytoplasm; Endoplasmic reticulum membrane; Membrane; Secreted,L01XX33; G01AE10; M01AH01,169590-42-5
REEUVFCVXKWOFE-UHFFFAOYSA-K,[I-].[I-].[I-].CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC,DB00483,Q15822; P08172; P22303; P11229; P08912,Human,antagonist; inhibitor,Cell junction; Cell membrane,,65-29-2
ZBMZVLHSJCTVON-UHFFFAOYSA-N,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,DB00489,Q12809; P08588; P07550,Human,inhibitor; antagonist,Cell membrane,C07AA57; C07BA07; C07AA07,3930-20-9
QWCRAEMEVRGPNT-UHFFFAOYSA-N,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,DB00490,P08684; P20815; P24462; P10635; P08908; P14416; P08183,Human,substrate; partial agonist; antagonist; inhibitor,Endoplasmic reticulum membrane; Cell membrane,N05BE01,36505-84-7
JRURYQJSLYLRLN-BJMVGYQFSA-N,CCN(CC)C(=O)C(=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O)\C#N,DB00494,P21964; O60656; P05177; P10635,Human,inhibitor; substrate,Cytoplasm; Microsome; Endoplasmic reticulum membrane,N04BX02,130929-57-6
YQNQNVDNTFHQSW-UHFFFAOYSA-N,CC(=O)OC1=CC=CC=C1C(=O)NC1=NC=C(S1)[N+]([O-])=O,DB00507,P94692,Desulfovibrio africanus,inhibitor,Cytoplasm,P01AX11,55981-09-4
XSCGXQMFQXDFCW-UHFFFAOYSA-N,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(F)(F)F,DB00508,P21728; P14416; P11229; P08172; P41595; P08183; P06276,Human,antagonist; inhibitor,Cell membrane; Secreted,N05AA05,146-54-3
